SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 03, 2018	August 02, 2018	August 01, 2018	July 31, 2018	July 30, 2018
Singapore dollar		1.910860	1.910610	1.913290	1.912090
South African rand		18.796500	18.552400	18.383300	18.509900
Sri Lankan rupee		223.387000	224.144000	224.370000	223.978000
Swedish krona		12.367800	12.345100	12.295500	12.339900
Swiss franc		1.391050		1.388220	1.392810
Thai baht		46.445300	46.560600	46.777900	
Trinidadian dollar			9.474630	9.480290	9.458140
Tunisian dinar		3.768990	3.771910	3.772890	3.758180
U.A.E. dirham		5.140750	5.152890	5.159370	5.153500
Uruguayan peso			42.790500	42.922900	42.853000
Bolivar Fuerte		241,280.000000	241,850.000000		241,878.000000


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
